,player_height,player_name,team_conference,team_name,player_height_in
0,6-4,Everett Osborne,Western Athletic Conference,UT-Rio Grande,76
1,6-2,Mike Lopez,Western Athletic Conference,UT-Rio Grande,74
2,6-0,J.J. Thompson,Western Athletic Conference,UT-Rio Grande,72
3,6-2,Nick Dixon,Western Athletic Conference,UT-Rio Grande,74
4,6-1,Lew Stallworth,Western Athletic Conference,UT-Rio Grande,73
5,6-4,Walter Jones,Western Athletic Conference,UT-Rio Grande,76
6,6-9,Michael Hoffman,Western Athletic Conference,UT-Rio Grande,81
7,6-10,Dan Kimasa,Western Athletic Conference,UT-Rio Grande,82
8,6-8,Shaquille Hines,Western Athletic Conference,UT-Rio Grande,80
9,6-3,George Garcia,Western Athletic Conference,UT-Rio Grande,75
10,6-2,Joaquin Pistokache,Western Athletic Conference,UT-Rio Grande,74
11,6-3,Dinero Mercurius,Western Athletic Conference,UT-Rio Grande,75
12,6-8,Adonis Rwabigwi,Western Athletic Conference,UT-Rio Grande,80
13,6-2,Ot Elmore,Western Athletic Conference,UT-Rio Grande,74
14,6-7,Dakota Slaughter,Western Athletic Conference,UT-Rio Grande,79
15,6-9,Christopher Ikuenobe,Western Athletic Conference,UT-Rio Grande,81
16,6-2,Antonio Green,Western Athletic Conference,UT-Rio Grande,74
17,6-6,Kurt Hall,Mid-American - West,Toledo,78
18,6-3,Jonathan Williams,Mid-American - West,Toledo,75
19,6-9,Taylor Adway,Mid-American - West,Toledo,81
20,6-3,Stuckey Mosley,Mid-American - West,Toledo,75
21,6-2,Chandler White,Mid-American - West,Toledo,74
22,6-1,Nick Rogers,Mid-American - West,Toledo,73
23,6-4,Jaelan Sanford,Mid-American - West,Toledo,76
24,6-7,Steve Taylor Jr.,Mid-American - West,Toledo,79
25,6-5,Jordan Lauf,Mid-American - West,Toledo,77
26,6-11,Luke Knapke,Mid-American - West,Toledo,83
27,6-10,Zach Garber,Mid-American - West,Toledo,82
28,6-8,Nate Navigato,Mid-American - West,Toledo,80
29,6-9,Nathan Boothe,Mid-American - West,Toledo,81
30,6-8,Max Bielfeldt,Big Ten Conference,Indiana,80
31,6-4,James Blackmon Jr.,Big Ten Conference,Indiana,76
32,6-4,Nick Zeisloft,Big Ten Conference,Indiana,76
